trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
345,False,"{'a': 0.25, 'e': 0.1781730517728984}",25,3,34.78164511474419,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
346,False,"{'a': 0.25, 'e': 0.17728440996987782}",25,0,11.033680576306601,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
347,False,"{'a': 0.25, 'e': 0.17640020028634}",35,24,22.61534147625082,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
348,False,"{'a': 0.25, 'e': 0.17552040061699686}",25,0,18.622036311318094,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
349,False,"{'a': 0.25, 'e': 0.17464498896681085}",35,19,-1.312673121616617,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
350,False,"{'a': 0.25, 'e': 0.17377394345044514}",20,10,14.864282363102397,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
351,False,"{'a': 0.25, 'e': 0.17290724229171636}",20,11,18.5462418405164,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
352,False,"{'a': 0.25, 'e': 0.17204486382305054}",20,0,-27.06068420381044,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
353,False,"{'a': 0.25, 'e': 0.1711867864849409}",20,14,11.338948092358846,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
354,False,"{'a': 0.25, 'e': 0.17033298882540943}",30,10,40.993589142564296,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
355,False,"{'a': 0.25, 'e': 0.16948344949947006}",25,14,4.940449153324455,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
356,False,"{'a': 0.25, 'e': 0.1686381472685955}",20,12,2.477790107497687,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
357,False,"{'a': 0.25, 'e': 0.16779706100018585}",20,14,10.835806606479958,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
358,False,"{'a': 0.25, 'e': 0.1669601696670407}",20,8,-3.8623541601607005,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
359,False,"{'a': 0.25, 'e': 0.16612745234683307}",30,18,10.037965929728587,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
360,False,"{'a': 0.25, 'e': 0.16529888822158653}",35,25,16.136480086024726,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
361,False,"{'a': 0.25, 'e': 0.1644744565771549}",20,0,29.644405434895337,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
362,False,"{'a': 0.25, 'e': 0.16365413680270405}",25,19,-31.86486507685849,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
363,False,"{'a': 0.25, 'e': 0.16283790839019696}",20,0,12.984028208012198,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
364,False,"{'a': 0.25, 'e': 0.16202575093388075}",25,16,17.33213795764246,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
365,False,"{'a': 0.25, 'e': 0.16121764412977677}",30,16,-2.8758429735879796,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
366,False,"{'a': 0.25, 'e': 0.16041356777517274}",20,10,4.9429712667024495,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
367,False,"{'a': 0.25, 'e': 0.15961350176811803}",20,0,6.420835972670695,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
368,False,"{'a': 0.25, 'e': 0.15881742610692068}",25,7,30.413435852036034,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
369,False,"{'a': 0.25, 'e': 0.1580253208896478}",25,12,14.721238178254481,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
370,False,"{'a': 0.25, 'e': 0.1572371663136276}",30,6,27.48781998852714,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
371,False,"{'a': 0.25, 'e': 0.15645294267495474}",20,0,-39.131841839475236,"{0: 16, 1: 0, 2: 1, 3: 3, 4: 0}",0
372,False,"{'a': 0.25, 'e': 0.1556726303679973}",25,2,-3.3244719688867317,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 0}",1
373,False,"{'a': 0.25, 'e': 0.15489620988490704}",25,15,15.953907853116007,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
374,False,"{'a': 0.25, 'e': 0.1541236618151314}",20,12,4.54742745217612,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
375,False,"{'a': 0.25, 'e': 0.15335496684492847}",30,0,-65.53427439112608,"{0: 24, 1: 0, 2: 4, 3: 1, 4: 1}",0
376,False,"{'a': 0.25, 'e': 0.15259010575688386}",20,0,-10.65187611177748,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
377,False,"{'a': 0.25, 'e': 0.1518290594294306}",20,9,-34.36015630829698,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
378,False,"{'a': 0.25, 'e': 0.15107180883637084}",25,17,12.418227095064982,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
379,False,"{'a': 0.25, 'e': 0.15031833504640033}",20,9,22.205918895115296,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
380,False,"{'a': 0.25, 'e': 0.14956861922263504}",20,7,24.565756043616908,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
381,False,"{'a': 0.25, 'e': 0.14882264262214037}",30,0,-18.289190998002432,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 1}",0
382,False,"{'a': 0.25, 'e': 0.14808038659546244}",25,11,23.287871276979736,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
383,False,"{'a': 0.25, 'e': 0.14734183258616193}",35,23,14.888824450113356,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
384,False,"{'a': 0.25, 'e': 0.14660696213035015}",25,10,14.784393912436569,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
385,False,"{'a': 0.25, 'e': 0.14587575685622736}",20,0,20.78376509807365,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
386,False,"{'a': 0.25, 'e': 0.14514819848362373}",20,4,14.522423848840502,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
387,False,"{'a': 0.25, 'e': 0.14442426882354198}",30,12,21.35645734326714,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
388,False,"{'a': 0.25, 'e': 0.14370394977770293}",20,11,18.97481420970866,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
389,False,"{'a': 0.25, 'e': 0.14298722333809288}",20,14,10.558370259161595,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
390,False,"{'a': 0.25, 'e': 0.1422740715865136}",25,13,10.676386269071003,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
391,False,"{'a': 0.25, 'e': 0.14156447669413402}",30,15,20.135406403835752,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
392,False,"{'a': 0.25, 'e': 0.140858420921045}",25,4,22.135064220373387,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
393,False,"{'a': 0.25, 'e': 0.14015588661581535}",20,0,32.275310631057756,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
394,False,"{'a': 0.25, 'e': 0.13945685621505094}",20,9,8.544196865829996,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
395,False,"{'a': 0.25, 'e': 0.13876131224295524}",30,20,9.840472230333921,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
396,False,"{'a': 0.25, 'e': 0.13806923731089282}",20,0,22.418557596109874,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
397,False,"{'a': 0.25, 'e': 0.13738061411695424}",25,0,30.20128886932118,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
398,False,"{'a': 0.25, 'e': 0.13669542544552385}",20,4,27.390225511207703,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
